"sku","store","register","trannum","seq","saledate","stype","quantity","orgprice","amt","amt2","interid","mic","zero"
6767033,3909,140,5800,"000000000","2004-12-17","P",1,34.0,34.0,34.0,"974000139",777,"0"
6767033,4003,620,9400,"000000000","2005-02-26","P",1,34.0,4.25,4.25,"508800293",777,"0"
6767033,4004,410,2100,"000000000","2005-02-06","P",1,34.0,17.0,17.0,"780200057",777,"0"
6767033,4007,240,18700,"440008916","2005-01-29","P",1,34.0,11.9,11.9,"853500167",777,"0"
6767033,4102,320,7100,"933004517","2004-11-20","P",1,34.0,34.0,34.0,"069900097",777,"0"
6767033,4103,930,4500,"321100478","2005-02-24","P",1,34.0,4.25,4.25,"136400236",777,"0"
6767033,4104,330,500,"000000000","2004-11-03","P",1,34.0,34.0,34.0,"769200040",777,"0"
6767033,4107,20,1800,"643508749","2005-01-05","P",1,34.0,24.99,24.99,"828500068",777,"0"
6767033,4109,400,4800,"000000000","2005-01-28","P",1,34.0,11.9,11.9,"764600122",777,"0"
6767033,4202,21,400,"000000000","2005-01-18","P",1,34.0,17.0,17.0,"921200048",777,"0"
6767033,4203,170,7100,"000000000","2005-01-15","P",1,34.0,17.0,17.0,"022500123",777,"0"
6767033,4204,340,6300,"000000000","2005-01-28","P",1,34.0,11.9,11.9,"764400122",777,"0"
6767033,4204,360,1300,"000000000","2005-01-22","P",1,34.0,17.0,17.0,"522800092",777,"0"
6767033,4207,390,9500,"370808818","2005-02-21","P",1,34.0,8.5,8.5,"341000094",777,"0"
6767033,4209,450,4100,"000000000","2004-12-23","P",1,34.0,34.0,34.0,"807000184",777,"0"
6767033,4302,180,2100,"224405836","2005-01-22","P",1,34.0,17.0,17.0,"522600092",777,"0"
6767033,4303,50,10600,"321100478","2005-02-24","R",1,34.0,8.5,8.5,"136500236",777,"0"
6767033,4303,350,3500,"321100478","2005-02-18","P",1,34.0,8.5,8.5,"981400103",777,"0"
6767033,4309,80,2700,"000000000","2005-01-24","P",1,34.0,17.0,17.0,"500700042",777,"0"
6767033,4402,200,3200,"000000000","2005-02-08","P",1,34.0,8.5,8.5,"525100055",777,"0"
6767033,4403,110,1200,"000000000","2004-11-07","P",1,34.0,34.0,34.0,"867700044",777,"0"
6767033,4404,490,1100,"000000000","2004-11-30","P",1,34.0,34.0,34.0,"296000059",777,"0"
6767033,4404,600,3500,"000000000","2004-12-04","R",1,34.0,34.0,34.0,"705100149",777,"0"
6767033,4407,360,2600,"382808178","2005-01-26","P",1,34.0,11.9,11.9,"391300119",777,"0"
6767033,4409,570,3800,"987208453","2005-02-17","P",1,34.0,8.5,8.5,"143200083",777,"0"
6767033,4502,130,600,"000000000","2005-02-23","R",1,34.0,17.0,17.0,"148500233",777,"0"
6767033,4502,130,1400,"614707939","2005-01-22","P",1,34.0,17.0,17.0,"522500092",777,"0"
6767033,4502,130,2100,"101205961","2005-03-05","P",1,34.0,8.5,8.5,"758500116",777,"0"
6767033,4503,140,9000,"000000000","2005-02-23","P",1,34.0,4.25,4.25,"148700233",777,"0"
6767033,4504,30,2300,"000000000","2005-02-16","P",1,34.0,8.5,8.5,"671700066",777,"0"
6767033,4507,270,700,"000000000","2005-01-01","P",1,34.0,24.99,24.99,"616400202",777,"0"
6767033,4603,20,13500,"000000000","2005-02-26","P",1,34.0,4.25,4.25,"509100293",777,"0"
6767033,4604,360,1600,"000000000","2005-05-22","P",1,34.0,8.5,8.5,"802900018",777,"0"
6767033,4702,60,1400,"000000000","2005-01-29","P",1,34.0,11.9,11.9,"852600167",777,"0"
6767033,4703,360,2500,"029306804","2005-01-19","P",1,34.0,17.0,17.0,"850700048",777,"0"
6767033,4704,30,600,"277008079","2005-01-21","P",1,34.0,17.0,17.0,"237500064",777,"0"
6767033,4707,280,4100,"636504212","2004-11-04","P",1,34.0,34.0,34.0,"009100051",777,"0"
6767033,4802,520,9200,"000000000","2004-12-27","P",1,34.0,34.0,34.0,"111800141",777,"0"
6767033,4803,40,1300,"461208643","2005-03-01","P",1,34.0,8.5,8.5,"819500049",777,"0"
6767033,4804,190,1400,"000000000","2005-03-13","P",1,34.0,8.5,8.5,"602900040",777,"0"
6767033,4807,350,3900,"000000000","2004-11-06","P",1,34.0,34.0,34.0,"316500091",777,"0"
6767033,4902,80,200,"187902774","2005-01-17","P",1,34.0,17.0,17.0,"699400098",777,"0"
6767033,4902,80,5800,"330805879","2005-01-27","P",1,34.0,11.9,11.9,"115700109",777,"0"
6767033,4903,520,3200,"000000000","2005-07-08","P",1,34.0,17.0,17.0,"267900029",777,"0"
6767033,4904,360,2200,"989402871","2005-01-27","P",1,34.0,11.9,11.9,"116200109",777,"0"
6767033,4907,420,1300,"000000000","2005-02-26","P",1,34.0,4.25,4.25,"509700293",777,"0"
6767033,5002,20,6700,"000000000","2004-12-10","P",1,34.0,34.0,34.0,"843500114",777,"0"
6767033,5004,20,1000,"547907052","2005-02-23","R",1,34.0,8.5,8.5,"149100233",777,"0"
6767033,5004,640,2200,"000000000","2005-03-26","P",1,34.0,8.5,8.5,"818200063",777,"0"
6767033,5004,640,6400,"547907052","2005-02-19","P",1,34.0,8.5,8.5,"589200152",777,"0"
6767033,5102,90,1900,"000000000","2005-02-13","P",1,34.0,8.5,8.5,"124200067",777,"0"
6767033,5103,560,2000,"000000000","2005-04-09","P",1,34.0,8.5,8.5,"813000051",777,"0"
6767033,5104,120,1100,"000000000","2005-01-17","P",1,34.0,17.0,17.0,"699800098",777,"0"
6767033,5202,60,2500,"000000000","2005-01-29","P",1,34.0,11.9,11.9,"852500167",777,"0"
6767033,5203,260,3800,"369609050","2005-02-17","P",1,34.0,8.5,8.5,"142800083",777,"0"
6767033,5204,440,4400,"000000000","2005-02-25","P",1,34.0,5.95,5.95,"128200243",777,"0"
6767033,5302,140,2700,"000000000","2004-12-09","P",1,34.0,34.0,34.0,"328400093",777,"0"
6767033,5303,240,9300,"599809092","2005-02-24","P",1,34.0,4.25,4.25,"136700236",777,"0"
6767033,5304,30,1500,"000000000","2005-03-06","P",1,34.0,2.99,2.99,"195100055",777,"0"
6767033,5402,580,8800,"000000000","2005-01-07","P",1,34.0,24.99,24.99,"595000089",777,"0"
6767033,5403,680,700,"043905914","2005-04-08","P",1,34.0,8.5,8.5,"406500037",777,"0"
6767033,5404,100,3100,"000000000","2005-02-07","P",1,34.0,8.5,8.5,"916900052",777,"0"
6767033,5502,370,3900,"115608269","2004-12-19","P",1,34.0,34.0,34.0,"020900125",777,"0"
6767033,5504,40,3400,"000000000","2005-02-12","P",1,34.0,17.0,17.0,"297500134",777,"0"
6767033,5602,320,4600,"000000000","2004-12-09","P",1,34.0,34.0,34.0,"328300093",777,"0"
6767033,5603,350,500,"000000000","2005-02-20","P",1,34.0,3.5,3.5,"884900072",777,"0"
6767033,5604,490,1900,"000000000","2005-01-04","P",1,34.0,24.99,24.99,"387200072",777,"0"
6767033,5803,500,5100,"000000000","2005-01-27","P",1,34.0,11.9,11.9,"116000109",777,"0"
6767033,5804,70,7100,"372208731","2005-01-15","P",1,34.0,17.0,17.0,"022800123",777,"0"
6767033,5903,210,5500,"000000000","2005-01-29","P",1,34.0,11.9,11.9,"852800167",777,"0"
6767033,5904,150,2800,"000000000","2005-02-22","P",1,34.0,8.5,8.5,"765500054",777,"0"
6767033,6002,790,500,"000000000","2005-02-20","P",1,34.0,8.5,8.5,"884600072",777,"0"
6767033,6004,570,900,"000000000","2005-02-05","P",1,34.0,17.0,17.0,"130800146",777,"0"
6767033,6009,260,400,"000000000","2004-12-01","P",1,34.0,34.0,34.0,"397500084",777,"0"
6767033,6102,330,3000,"931708600","2005-01-21","P",1,34.0,17.0,17.0,"237400064",777,"0"
6767033,6104,380,2900,"000000000","2004-12-19","P",1,34.0,34.0,34.0,"021000125",777,"0"
6767033,6109,260,1200,"000000000","2004-11-01","P",1,34.0,34.0,34.0,"700000034",777,"0"
6767033,6203,690,3100,"000000000","2005-02-25","P",1,34.0,4.25,4.25,"127900243",777,"0"
6767033,6204,740,6700,"000000000","2005-02-19","P",1,34.0,8.5,8.5,"589500152",777,"0"
6767033,6302,380,1100,"000000000","2005-01-14","P",1,34.0,17.0,17.0,"053900083",777,"0"
6767033,6304,70,4300,"000000000","2005-06-01","P",1,34.0,8.5,8.5,"179300023",777,"0"
6767033,6403,290,1900,"000000000","2004-12-05","P",1,34.0,34.0,34.0,"324700128",777,"0"
6767033,6503,260,13200,"758807650","2005-02-24","P",1,34.0,4.25,4.25,"136300236",777,"0"
6767033,6604,180,5400,"000000000","2004-11-26","P",1,34.0,34.0,34.0,"376300185",777,"0"
6767033,6703,150,700,"966106852","2005-03-26","P",1,34.0,8.5,8.5,"818100063",777,"0"
6767033,6704,150,4900,"785101522","2005-01-27","P",1,34.0,11.9,11.9,"116300109",777,"0"
6767033,6803,140,4300,"298702134","2005-03-19","P",1,34.0,5.1,5.1,"258500072",777,"0"
6767033,6804,70,6000,"000000000","2005-01-08","P",1,34.0,24.99,24.99,"450300136",777,"0"
6767033,6902,260,5000,"000000000","2004-12-28","P",1,34.0,34.0,34.0,"113400109",777,"0"
